"project","name","inspected"
":app","prodDebugWearBundling","False"
":app","prodImplementationDependenciesMetadata","False"
":app","prodIntransitiveDependenciesMetadata","False"
":app","prodReleaseAnnotationProcessorClasspath","True"
":app","prodReleaseApiDependenciesMetadata","False"
":app","prodReleaseCompileClasspath","True"
":app","prodReleaseCompileOnlyDependenciesMetadata","False"
":app","prodReleaseImplementationDependenciesMetadata","False"
":app","prodReleaseIntransitiveDependenciesMetadata","False"
":app","prodReleaseReverseMetadataValues","False"
":app","prodReleaseRuntimeClasspath","True"
":app","prodReleaseUnitTestAnnotationProcessorClasspath","True"
":app","prodReleaseUnitTestApiDependenciesMetadata","False"
":app","prodReleaseUnitTestCompileClasspath","True"
":app","prodReleaseUnitTestCompileOnlyDependenciesMetadata","False"
":app","prodReleaseUnitTestImplementationDependenciesMetadata","False"
":app","prodReleaseUnitTestIntransitiveDependenciesMetadata","False"
":app","prodReleaseUnitTestRuntimeClasspath","True"
":app","prodReleaseWearBundling","False"
":app","qaApiDependenciesMetadata","False"
":app","qaCompileOnlyDependenciesMetadata","False"
":app","qaDebugAndroidTestAnnotationProcessorClasspath","True"
":app","qaDebugAndroidTestApiDependenciesMetadata","False"
":app","qaDebugAndroidTestCompileClasspath","True"
":app","qaDebugAndroidTestCompileOnlyDependenciesMetadata","False"
":app","qaDebugAndroidTestImplementationDependenciesMetadata","False"
":app","qaDebugAndroidTestIntransitiveDependenciesMetadata","False"
":app","qaDebugAndroidTestRuntimeClasspath","True"
":app","qaDebugAnnotationProcessorClasspath","True"
":app","qaDebugApiDependenciesMetadata","False"
":app","qaDebugCompileClasspath","True"
":app","qaDebugCompileOnlyDependenciesMetadata","False"
":app","qaDebugImplementationDependenciesMetadata","False"
":app","qaDebugIntransitiveDependenciesMetadata","False"
":app","qaDebugReverseMetadataValues","False"
":app","qaDebugRuntimeClasspath","True"
":app","qaDebugUnitTestAnnotationProcessorClasspath","True"
":app","qaDebugUnitTestApiDependenciesMetadata","False"
":app","qaDebugUnitTestCompileClasspath","True"
":app","qaDebugUnitTestCompileOnlyDependenciesMetadata","False"
":app","qaDebugUnitTestImplementationDependenciesMetadata","False"
":app","qaDebugUnitTestIntransitiveDependenciesMetadata","False"
":app","qaDebugUnitTestRuntimeClasspath","True"
":app","qaDebugWearBundling","False"
":app","qaImplementationDependenciesMetadata","False"
":app","qaIntransitiveDependenciesMetadata","False"
":app","qaReleaseAnnotationProcessorClasspath","True"
":app","qaReleaseApiDependenciesMetadata","False"
":app","qaReleaseCompileClasspath","True"
":app","qaReleaseCompileOnlyDependenciesMetadata","False"
":app","qaReleaseImplementationDependenciesMetadata","False"
":app","qaReleaseIntransitiveDependenciesMetadata","False"
":app","qaReleaseReverseMetadataValues","False"
":app","qaReleaseRuntimeClasspath","True"
":app","qaReleaseUnitTestAnnotationProcessorClasspath","True"
":app","qaReleaseUnitTestApiDependenciesMetadata","False"
":app","qaReleaseUnitTestCompileClasspath","True"
":app","qaReleaseUnitTestCompileOnlyDependenciesMetadata","False"
":app","qaReleaseUnitTestImplementationDependenciesMetadata","False"
":app","qaReleaseUnitTestIntransitiveDependenciesMetadata","False"
":app","qaReleaseUnitTestRuntimeClasspath","True"
":app","qaReleaseWearBundling","False"
":app","releaseApiDependenciesMetadata","False"
":app","releaseCompileOnlyDependenciesMetadata","False"
":app","releaseImplementationDependenciesMetadata","False"
":app","releaseIntransitiveDependenciesMetadata","False"
":app","stagingApiDependenciesMetadata","False"
":app","stagingCompileOnlyDependenciesMetadata","False"
":app","stagingDebugAndroidTestAnnotationProcessorClasspath","True"
":app","stagingDebugAndroidTestApiDependenciesMetadata","False"
":app","stagingDebugAndroidTestCompileClasspath","True"
":app","stagingDebugAndroidTestCompileOnlyDependenciesMetadata","False"
":app","stagingDebugAndroidTestImplementationDependenciesMetadata","False"
":app","stagingDebugAndroidTestIntransitiveDependenciesMetadata","False"
":app","stagingDebugAndroidTestRuntimeClasspath","True"
":app","stagingDebugAnnotationProcessorClasspath","True"
":app","stagingDebugApiDependenciesMetadata","False"
":app","stagingDebugCompileClasspath","True"
":app","stagingDebugCompileOnlyDependenciesMetadata","False"
":app","stagingDebugImplementationDependenciesMetadata","False"
":app","stagingDebugIntransitiveDependenciesMetadata","False"
":app","stagingDebugReverseMetadataValues","False"
":app","stagingDebugRuntimeClasspath","True"
":app","stagingDebugUnitTestAnnotationProcessorClasspath","True"
":app","stagingDebugUnitTestApiDependenciesMetadata","False"
":app","stagingDebugUnitTestCompileClasspath","True"
":app","stagingDebugUnitTestCompileOnlyDependenciesMetadata","False"
":app","stagingDebugUnitTestImplementationDependenciesMetadata","False"
":app","stagingDebugUnitTestIntransitiveDependenciesMetadata","False"
":app","stagingDebugUnitTestRuntimeClasspath","True"
":app","stagingDebugWearBundling","False"
":app","stagingImplementationDependenciesMetadata","False"
":app","stagingIntransitiveDependenciesMetadata","False"
":app","stagingReleaseAnnotationProcessorClasspath","True"
":app","stagingReleaseApiDependenciesMetadata","False"
":app","stagingReleaseCompileClasspath","True"
":app","stagingReleaseCompileOnlyDependenciesMetadata","False"
":app","stagingReleaseImplementationDependenciesMetadata","False"
":app","stagingReleaseIntransitiveDependenciesMetadata","False"
":app","stagingReleaseReverseMetadataValues","False"
":app","stagingReleaseRuntimeClasspath","True"
":app","stagingReleaseUnitTestAnnotationProcessorClasspath","True"
":app","stagingReleaseUnitTestApiDependenciesMetadata","False"
":app","stagingReleaseUnitTestCompileClasspath","True"
":app","stagingReleaseUnitTestCompileOnlyDependenciesMetadata","False"
":app","stagingReleaseUnitTestImplementationDependenciesMetadata","False"
":app","stagingReleaseUnitTestIntransitiveDependenciesMetadata","False"
":app","stagingReleaseUnitTestRuntimeClasspath","True"
":app","stagingReleaseWearBundling","False"
":app","testApiDependenciesMetadata","False"
":app","testCompileOnlyDependenciesMetadata","False"
":app","testDebugApiDependenciesMetadata","False"
":app","testDebugCompileOnlyDependenciesMetadata","False"
":app","testDebugImplementationDependenciesMetadata","False"
":app","testDebugIntransitiveDependenciesMetadata","False"
":app","testDevApiDependenciesMetadata","False"
":app","testDevCompileOnlyDependenciesMetadata","False"
":app","testDevDebugApiDependenciesMetadata","False"
":app","testDevDebugCompileOnlyDependenciesMetadata","False"
":app","testDevDebugImplementationDependenciesMetadata","False"
":app","testDevDebugIntransitiveDependenciesMetadata","False"
":app","testDevImplementationDependenciesMetadata","False"
":app","testDevIntransitiveDependenciesMetadata","False"
":app","testDevReleaseApiDependenciesMetadata","False"
":app","testDevReleaseCompileOnlyDependenciesMetadata","False"
":app","testDevReleaseImplementationDependenciesMetadata","False"
":app","testDevReleaseIntransitiveDependenciesMetadata","False"
":app","testFixturesApiDependenciesMetadata","False"
":app","testFixturesCompileOnlyDependenciesMetadata","False"
